subject_id,branch_id,n_A_resolved,n_A_blocked,n_A_unreached,n_B_resolved,n_B_blocked,n_B_unreached,A_resolved_trials,A_blocked_trials,B_resolved_trials,B_blocked_trials,p_A_blocked,p_B_blocked,prob_div,avg_dur_A,avg_dur_B,dur_div,avg_hits_A,avg_hits_B,hit_div,hypothesis_label,template_id
31,14233,0,10,0,1,9,0,[],"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",[1],"[2, 3, 4, 5, 6, 7, 8, 9, 10]",1.0,0.9,-0.09999999999999998,21.5,18.9,-2.6000000000000014,0.0,0.1,-0.1,,
31,14234,5,5,0,0,10,0,"[2, 4, 5, 6, 8]","[1, 3, 7, 9, 10]",[],"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.5,1.0,0.5,15.4,19.5,4.1,2.7,0.0,2.7,,
31,14235,1,4,5,1,0,9,[8],"[2, 4, 5, 6]",[1],[],0.8,0.0,-0.8,12.0,0.0,-12.0,7.8,1.0,6.8,,
31,14236,4,1,5,1,0,9,"[2, 4, 5, 8]",[6],[1],[],0.2,0.0,-0.2,3.0,0.0,-3.0,4.2,1.0,3.2,,
31,14237,3,2,5,1,0,9,"[2, 6, 8]","[4, 5]",[1],[],0.4,0.0,-0.4,4.4,0.0,-4.4,2.6,1.0,1.6,,
31,14238,2,3,5,0,1,9,"[4, 5]","[2, 6, 8]",[],[1],0.6,1.0,0.4,7.8,6.0,-1.7999999999999998,2.8,0.0,2.8,,
31,14239,2,1,7,0,1,9,"[6, 8]",[2],[],[1],0.3333333333333333,1.0,0.6666666666666667,7.666666666666667,6.0,-1.666666666666667,2.0,0.0,2.0,,
31,14240,2,1,7,1,0,9,"[2, 8]",[6],[1],[],0.3333333333333333,0.0,-0.3333333333333333,5.0,0.0,-5.0,2.3333333333333335,1.0,1.3333333333333335,,
31,14241,10,0,0,7,3,0,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",[],"[1, 2, 3, 5, 6, 7, 9]","[4, 8, 10]",0.0,0.3,0.3,2.7,10.0,7.3,182.5,321.1,-138.60000000000002,,
31,14242,10,0,0,6,4,0,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",[],"[1, 2, 3, 5, 7, 9]","[4, 6, 8, 10]",0.0,0.4,0.4,2.2,9.8,7.6000000000000005,791.7,319.4,472.30000000000007,,
31,14243,10,0,0,7,3,0,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",[],"[1, 2, 3, 5, 6, 7, 9]","[4, 8, 10]",0.0,0.3,0.3,2.7,10.0,7.3,182.5,321.1,-138.60000000000002,,
31,14244,8,2,0,3,7,0,"[1, 2, 3, 5, 6, 7, 8, 10]","[4, 9]","[3, 5, 9]","[1, 2, 4, 6, 7, 8, 10]",0.2,0.7,0.49999999999999994,10.7,17.2,6.5,41.1,22.6,18.5,,
31,14245,10,0,0,4,1,5,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",[],"[1, 3, 5, 9]",[7],0.0,0.2,0.2,1.4,5.6,4.199999999999999,543.4,543.0,0.39999999999997726,,
31,14246,10,0,0,4,1,5,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",[],"[1, 3, 5, 9]",[7],0.0,0.2,0.2,0.6,7.2,6.6000000000000005,196.3,26.0,170.3,,
31,14247,10,0,0,2,2,6,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",[],"[1, 3]","[5, 9]",0.0,0.5,0.5,1.3,10.5,9.2,153.2,43.5,109.69999999999999,,
31,14248,5,5,0,2,2,6,"[1, 3, 7, 8, 9]","[2, 4, 5, 6, 10]","[5, 9]","[1, 3]",0.5,0.5,0.0,10.4,9.75,-0.6500000000000004,4.7,1.25,3.45,,
31,14249,3,7,0,0,4,6,"[8, 9, 10]","[1, 2, 3, 4, 5, 6, 7]",[],"[1, 3, 5, 9]",0.7,1.0,0.30000000000000004,14.0,13.25,-0.75,0.9,0.0,0.9,,
31,14250,4,1,5,0,2,8,"[1, 3, 8, 9]",[7],[],"[5, 9]",0.2,1.0,0.8,2.0,7.0,5.0,7.2,0.0,7.2,,
31,14251,2,3,5,2,0,8,"[7, 8]","[1, 3, 9]","[5, 9]",[],0.6,0.0,-0.6,9.2,0.0,-9.2,2.2,2.5,-0.2999999999999998,,
31,14252,1,3,6,0,0,10,[8],"[1, 3, 9]",[],[],0.75,,-0.75,9.75,,-9.75,2.25,,2.25,,
31,14253,1,3,6,0,0,10,[1],"[3, 8, 9]",[],[],0.75,,-0.75,11.75,,-11.75,0.25,,0.25,,
31,14254,3,1,6,0,0,10,"[3, 8, 9]",[1],[],[],0.25,,-0.25,3.0,,-3.0,6.5,,6.5,,
31,14255,10,0,0,9,1,0,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",[],"[1, 2, 3, 4, 6, 7, 8, 9, 10]",[5],0.0,0.1,0.1,6.1,4.2,-1.8999999999999995,20.7,34.2,-13.500000000000004,,
31,14256,10,0,0,9,1,0,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",[],"[1, 2, 3, 4, 6, 7, 8, 9, 10]",[5],0.0,0.1,0.1,6.1,4.2,-1.8999999999999995,83.6,136.8,-53.20000000000002,,
31,14257,8,2,0,4,3,3,"[1, 2, 4, 5, 6, 8, 9, 10]","[3, 7]","[2, 5, 6, 7]","[1, 3, 9]",0.2,0.42857142857142855,0.22857142857142854,3.5,6.0,2.5,210.8,51.0,159.8,,
31,14258,8,2,0,4,3,3,"[1, 2, 4, 5, 6, 8, 9, 10]","[3, 7]","[2, 5, 6, 7]","[1, 3, 9]",0.2,0.42857142857142855,0.22857142857142854,4.7,11.285714285714286,6.585714285714286,210.8,51.0,159.8,,
31,14259,8,2,0,4,3,3,"[1, 2, 4, 5, 6, 8, 9, 10]","[3, 7]","[2, 5, 6, 7]","[1, 3, 9]",0.2,0.42857142857142855,0.22857142857142854,4.7,11.285714285714286,6.585714285714286,210.8,51.0,159.8,,
31,14260,2,8,0,1,5,4,"[4, 5]","[1, 2, 3, 6, 7, 8, 9, 10]",[3],"[1, 2, 5, 7, 9]",0.8,0.8333333333333334,0.033333333333333326,18.3,17.666666666666668,-0.6333333333333329,1.2,0.3333333333333333,0.8666666666666667,,
31,14261,10,0,0,4,2,4,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",[],"[1, 3, 5, 7]","[2, 9]",0.0,0.3333333333333333,0.3333333333333333,2.4,9.0,6.6,9311.7,743.6666666666666,8568.033333333335,,
31,14262,2,8,0,1,3,6,"[3, 5]","[1, 2, 4, 6, 7, 8, 9, 10]",[5],"[1, 3, 7]",0.8,0.75,-0.050000000000000044,15.5,11.5,-4.0,0.2,17.0,-16.8,,
31,14263,9,1,0,7,0,3,"[1, 2, 4, 5, 6, 7, 8, 9, 10]",[3],"[1, 2, 3, 5, 6, 7, 9]",[],0.1,0.0,-0.1,2.2,4.428571428571429,2.2285714285714286,2691.6,689.7142857142857,2001.8857142857141,,
31,14264,9,0,1,6,1,3,"[1, 2, 4, 5, 6, 7, 8, 9, 10]",[],"[1, 2, 5, 6, 7, 9]",[3],0.0,0.14285714285714285,0.14285714285714285,1.5555555555555556,3.142857142857143,1.5873015873015872,2882.8888888888887,671.5714285714286,2211.3174603174602,,
31,14265,8,1,1,4,2,4,"[1, 2, 4, 5, 6, 8, 9, 10]",[7],"[1, 2, 5, 7]","[6, 9]",0.1111111111111111,0.3333333333333333,0.2222222222222222,1.7777777777777777,8.0,6.222222222222222,1215.6666666666667,406.1666666666667,809.5,,
31,14266,8,1,1,5,2,3,"[1, 2, 4, 5, 6, 8, 9, 10]",[7],"[1, 2, 5, 6, 7]","[3, 9]",0.1111111111111111,0.2857142857142857,0.1746031746031746,2.4444444444444446,4.571428571428571,2.1269841269841265,14390.0,5193.857142857143,9196.142857142857,,
31,14267,7,3,0,9,0,1,"[3, 4, 5, 6, 8, 9, 10]","[1, 2, 7]","[1, 2, 3, 4, 6, 7, 8, 9, 10]",[],0.3,0.0,-0.3,10.5,2.7777777777777777,-7.722222222222222,1.5,6.333333333333333,-4.833333333333333,,
31,14268,10,0,0,9,1,0,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",[],"[1, 2, 3, 4, 6, 7, 8, 9, 10]",[5],0.0,0.1,0.1,7.7,7.3,-0.40000000000000036,13.8,22.8,-9.0,,
31,14269,10,0,0,9,1,0,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",[],"[1, 2, 3, 4, 6, 7, 8, 9, 10]",[5],0.0,0.1,0.1,5.9,4.3,-1.6000000000000005,56.1,79.8,-23.699999999999996,,
31,14270,10,0,0,9,1,0,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",[],"[1, 2, 3, 4, 6, 7, 8, 9, 10]",[5],0.0,0.1,0.1,5.9,4.3,-1.6000000000000005,42.3,57.0,-14.700000000000003,,
31,14271,10,0,0,9,1,0,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",[],"[1, 2, 3, 4, 6, 7, 8, 9, 10]",[5],0.0,0.1,0.1,5.9,4.3,-1.6000000000000005,36.0,62.7,-26.700000000000003,,
31,14272,10,0,0,9,1,0,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",[],"[1, 2, 3, 4, 6, 7, 8, 9, 10]",[5],0.0,0.1,0.1,7.7,7.3,-0.40000000000000036,13.8,22.8,-9.0,,
31,14273,10,0,0,9,1,0,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",[],"[1, 2, 3, 4, 6, 7, 8, 9, 10]",[5],0.0,0.1,0.1,5.9,4.3,-1.6000000000000005,51.4,94.6,-43.199999999999996,,
31,14274,10,0,0,9,1,0,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",[],"[1, 2, 3, 4, 6, 7, 8, 9, 10]",[5],0.0,0.1,0.1,5.9,4.3,-1.6000000000000005,51.4,94.6,-43.199999999999996,,
31,14275,10,0,0,9,1,0,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",[],"[1, 2, 3, 4, 6, 7, 8, 9, 10]",[5],0.0,0.1,0.1,7.7,7.3,-0.40000000000000036,212.4,347.0,-134.6,,
31,14276,10,0,0,9,1,0,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",[],"[1, 2, 3, 4, 6, 7, 8, 9, 10]",[5],0.0,0.1,0.1,7.7,7.3,-0.40000000000000036,64.2,125.4,-61.2,,
31,14277,10,0,0,9,1,0,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",[],"[1, 2, 3, 4, 6, 7, 8, 9, 10]",[5],0.0,0.1,0.1,7.7,7.3,-0.40000000000000036,120.6,176.7,-56.099999999999994,,
31,14278,10,0,0,9,1,0,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",[],"[1, 2, 3, 4, 6, 7, 8, 9, 10]",[5],0.0,0.1,0.1,7.7,7.3,-0.40000000000000036,27.6,45.6,-18.0,,
31,14279,10,0,0,9,1,0,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",[],"[1, 2, 3, 4, 6, 7, 8, 9, 10]",[5],0.0,0.1,0.1,7.7,7.3,-0.40000000000000036,6.9,11.4,-4.5,,
31,14280,10,0,0,9,1,0,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",[],"[1, 2, 3, 4, 6, 7, 8, 9, 10]",[5],0.0,0.1,0.1,7.7,7.3,-0.40000000000000036,6.9,11.4,-4.5,,
